0,0,0.0
0,1,2649.87807547
0,2,1665.47973585
0,3,940.148603774
0,4,537.936990566
0,5,1019.98835849
0,6,3075.57772642
0,7,1834.1860283
0,8,1768.51650943
0,9,3044.21058491
0,10,3179.95562264
0,11,2146.27008491
0,12,3083.91827358
0,13,2482.51041509
0,14,2476.60476415
0,15,3562.9449434
0,16,4031.52450943
0,17,3634.48037736
0,18,2448.23245283
0,19,2487.04471698
0,20,2882.95806604
0,21,2119.67431132
0,22,2140.55061321
0,23,2368.32216981
0,24,3192.30037736
0,25,2536.6230283
0,26,2699.60290566
0,27,2347.09727358
0,28,3115.92165094
0,29,2372.8699717
0,30,3427.25372642
0,31,4124.82441509
0,32,3558.41967925
0,33,3106.9699434
0,34,2528.72725472
0,35,3740.52201887
0,36,3930.70233962
0,37,3352.53977358
0,38,4192.79204717
0,39,5333.92661321
0,40,5552.72683019
0,41,6902.15028302
0,42,6399.47461321
0,43,6470.02560377
0,44,6734.09440566
0,45,6274.20516981
0,46,7398.94443396
0,47,7653.64129245
0,48,7818.8289434
0,49,6852.78043396
0,50,6291.19519811
0,51,6778.07633019
0,52,8373.21796226
0,53,6933.08832075
0,54,7356.68163208
0,55,6954.66826415
0,56,6099.88766038
0,57,7497.78224528
0,58,7086.59973585
0,59,6749.54987736
0,60,8517.22660377
0,61,7555.26365094
0,62,8022.84364151
0,63,7850.61325472
0,64,8629.43384906
0,65,9179.37637736
0,66,9373.77632075
0,67,8470.9824717
0,68,9947.91501887
0,69,9091.03290566
0,70,10257.1816415
0,71,8534.94451887
0,72,9315.93559434
0,73,9528.2724717
0,74,9072.88693396
1,0,2649.87807547
1,1,0.0
1,2,1879.87949057
1,3,2018.28591509
1,4,2250.31348113
1,5,3150.47391509
1,6,3701.57275472
1,7,3975.11958491
1,8,4081.48968868
1,9,5316.56261321
1,10,5460.90564151
1,11,4511.45590566
1,12,5322.24499057
1,13,5009.94838679
1,14,4956.93362264
1,15,5743.62248113
1,16,6565.3285566
1,17,6213.46254717
1,18,4986.90054717
1,19,4791.26025472
